,snippet_id,pid,situation,code,object,rank
117,P14_C_338_955_1851_1053,P14,Copyshop,other original purpose,tissue,6
118,P14_C_338_955_1851_1053,P14,Copyshop,place on,tissue,6
119,P15_C_242_542_2057_641,P15,Copyshop,practical,phone,1
120,P15_C_242_542_2057_641,P15,Copyshop,wireless connection,phone,1
121,P15_C_246_661_2254_743,P15,Copyshop,original use,key,6
122,P15_C_246_661_2254_743,P15,Copyshop,insert,key,6
123,P15_C_256_767_2266_860,P15,Copyshop,simple,card,4
124,P15_C_256_767_2266_860,P15,Copyshop,practical,card,4
125,P15_C_256_767_2266_860,P15,Copyshop,fast / quick,card,4
126,P15_C_256_767_2266_860,P15,Copyshop,place on,card,4
127,P15_C_256_767_2266_860,P15,Copyshop,comfortable,card,4
128,P15_C_254_880_2266_973,P15,Copyshop,at hand,watch,2
129,P15_C_254_880_2266_973,P15,Copyshop,wireless connection,watch,2
130,P15_C_254_880_2266_973,P15,Copyshop,wearable,watch,2
131,P15_C_266_991_2266_1086,P15,Copyshop,pointing,pen,3
132,P15_C_266_991_2266_1086,P15,Copyshop,no extra step,pen,3
133,P15_C_256_1102_2266_1221,P15,Copyshop,intuitive,tissue,5
134,P15_C_256_1102_2266_1221,P15,Copyshop,wipe,tissue,5
135,P15_C_256_1102_2266_1221,P15,Copyshop,impractical / cumbersome,tissue,5
136,P02_C_171_165_1542_299,P02,Copyshop,technical / technological,phone,1
137,P02_C_171_165_1542_299,P02,Copyshop,wireless connection\messenger,phone,1
138,P02_C_171_165_1542_299,P02,Copyshop,cable,phone,1
139,P02_C_173_322_1467_404,P02,Copyshop,intuitive,card,2
140,P02_C_173_322_1467_404,P02,Copyshop,place on,card,2
141,P02_C_180_417_1784_499,P02,Copyshop,hold to,watch,4
142,P02_C_180_417_1784_499,P02,Copyshop,smart,watch,4
143,P02_C_180_522_1720_598,P02,Copyshop,realisable,pen,3
144,P02_C_180_522_1720_598,P02,Copyshop,insert,pen,3
145,P02_C_164_616_1713_687,P02,Copyshop,place on,key,5
146,P02_C_157_700_1861_871,P02,Copyshop,secure,tissue,6
147,P02_C_157_700_1861_871,P02,Copyshop,imprint,tissue,6
148,P02_C_157_700_1861_871,P02,Copyshop,scan,tissue,6
149,P03_C_232_296_2060_483,P03,Copyshop,hold to,card,1
150,P03_C_232_296_2060_483,P03,Copyshop,known interaction,card,1
151,P03_C_232_296_2060_483,P03,Copyshop,drag through,card,1
152,P03_C_271_495_2172_590,P03,Copyshop,insert,key,3
153,P03_C_271_495_2172_590,P03,Copyshop,original use,key,3
154,P03_C_271_495_2172_590,P03,Copyshop,at hand,key,3
155,P03_C_271_495_2172_590,P03,Copyshop,secure,key,3
156,P03_C_271_495_2172_590,P03,Copyshop,turn,key,3
157,P03_C_255_606_1505_666,P03,Copyshop,no usage / no sense,tissue,6
158,P03_C_255_682_2181_739,P03,Copyshop,original use,pen,5
159,P03_C_255_682_2181_739,P03,Copyshop,touch,pen,5
160,P03_C_255_682_2181_739,P03,Copyshop,writing,pen,5
161,P03_C_244_754_1368_802,P03,Copyshop,hold to,phone,2
162,P03_C_262_823_1728_901,P03,Copyshop,hold to,watch,4
163,P03_C_262_823_1728_901,P03,Copyshop,turn,watch,4
164,P03_C_262_823_1728_901,P03,Copyshop,tab on object\button,watch,4
165,P04_C_155_214_1039_301,P04,Copyshop,insert,watch,2
166,P04_C_155_214_1039_301,P04,Copyshop,cable,watch,2
167,P04_C_153_328_1042_415,P04,Copyshop,insert,pen,3
168,P04_C_153_328_1042_415,P04,Copyshop,cable,pen,3
169,P04_C_146_429_1044_501,P04,Copyshop,place on,key,3
170,P04_C_146_518_1644_586,P04,Copyshop,additional device needed,card,3
171,P04_C_146_518_1644_586,P04,Copyshop,place on,card,3
172,P04_C_143_597_1660_675,P04,Copyshop,disposable,tissue,6
173,P04_C_143_597_1660_675,P04,Copyshop,place on,tissue,6
174,P04_C_148_684_1910_763,P04,Copyshop,wireless connection,phone,1
175,P04_C_148_684_1910_763,P04,Copyshop,wireless connection\cloud,phone,1
176,P04_C_148_684_1910_763,P04,Copyshop,cable,phone,1
177,P04_C_148_684_1910_763,P04,Copyshop,already functional,phone,1
178,P05_C_155_422_1942_520,P05,Copyshop,multifunctional,phone,1
179,P05_C_155_422_1942_520,P05,Copyshop,wireless connection,phone,1
180,P05_C_160_534_1807_595,P05,Copyshop,hold to,card,3
181,P05_C_160_534_1807_595,P05,Copyshop,realisable,card,3
182,P05_C_160_534_1807_595,P05,Copyshop,original use,card,3
183,P05_C_167_620_1881_695,P05,Copyshop,tab on object\button,watch,4
184,P05_C_167_620_1881_695,P05,Copyshop,turn,watch,4
185,P05_C_167_620_1881_695,P05,Copyshop,smart,watch,4
186,P05_C_150_711_1187_780,P05,Copyshop,smart,pen,2
187,P05_C_150_711_1187_780,P05,Copyshop,insert,pen,2
188,P05_C_137_804_2142_866,P05,Copyshop,impractical / cumbersome,tissue,6
189,P05_C_137_804_2142_866,P05,Copyshop,writing,tissue,6
190,P05_C_137_804_2142_866,P05,Copyshop,not realisable,tissue,6
191,P05_C_137_804_2142_866,P05,Copyshop,original use,tissue,6
192,P05_C_137_804_2142_866,P05,Copyshop,imprint,tissue,6
193,P05_C_135_880_828_960,P05,Copyshop,insert,key,5
194,P06_C_242_185_1172_271,P06,Copyshop,extra steps,phone,1
195,P06_C_242_185_1172_271,P06,Copyshop,hold to,phone,1
196,P06_C_242_185_1172_271,P06,Copyshop,photo,phone,1
197,P06_C_253_290_745_355,P06,Copyshop,hold to,card,2
198,P06_C_253_290_745_355,P06,Copyshop,known interaction,card,2
199,P06_C_253_290_745_355,P06,Copyshop,at hand,card,2
200,P06_C_253_290_745_355,P06,Copyshop,intuitive,card,2
201,P06_C_253_369_714_431,P06,Copyshop,insert,key,5
202,P06_C_253_369_714_431,P06,Copyshop,original use,key,5
203,P06_C_253_369_714_431,P06,Copyshop,turn,key,5
204,P06_C_257_444_780_501,P06,Copyshop,voice command,watch,3
205,P06_C_257_444_780_501,P06,Copyshop,synchronised,watch,3
206,P06_C_257_444_780_501,P06,Copyshop,intuitive,watch,3
207,P06_C_257_444_780_501,P06,Copyshop,smart,watch,3
208,P06_C_248_518_770_584,P06,Copyshop,other original purpose,tissue,6
209,P06_C_248_518_770_584,P06,Copyshop,breakable / unstable,tissue,6
210,P06_C_248_518_770_584,P06,Copyshop,wipe,tissue,6
211,P06_C_237_597_900_711,P06,Copyshop,pointing,pen,4
212,P06_C_237_597_900_711,P06,Copyshop,tab on object\button,pen,4
213,P07_C_80_246_1594_342,P07,Copyshop,no benefit / no added value,phone,1
214,P07_C_80_246_1594_342,P07,Copyshop,place on,phone,1
215,P07_C_80_246_1594_342,P07,Copyshop,cable,phone,1
216,P07_C_80_246_1594_342,P07,Copyshop,intuitive,phone,1
217,P07_C_80_246_1594_342,P07,Copyshop,at hand,phone,1
218,P07_C_75_352_1571_433,P07,Copyshop,additional device needed,key,3
219,P07_C_75_352_1571_433,P07,Copyshop,other,key,3
220,P07_C_75_352_1571_433,P07,Copyshop,place on,key,3
221,P07_C_82_444_913_533,P07,Copyshop,insert,card,4
222,P07_C_82_444_913_533,P07,Copyshop,additional device needed,card,4
223,P07_C_82_444_913_533,P07,Copyshop,place on,card,4
224,P07_C_84_547_824_637,P07,Copyshop,smart,watch,2
225,P07_C_84_547_824_637,P07,Copyshop,additional device needed,watch,2
226,P07_C_84_547_824_637,P07,Copyshop,wearable,watch,2
227,P07_C_84_547_824_637,P07,Copyshop,known interaction,watch,2
228,P07_C_84_547_824_637,P07,Copyshop,hold to,watch,2
229,P07_C_87_641_1373_705,P07,Copyshop,place on,pen,3
230,P07_C_80_714_1727_800,P07,Copyshop,not realisable,tissue,4
231,P07_C_80_714_1727_800,P07,Copyshop,writing,tissue,4
232,P07_C_80_714_1727_800,P07,Copyshop,imprint,tissue,4
233,P08_C_129_382_1736_481,P08,Copyshop,wireless connection\messenger,phone,1
234,P08_C_129_382_1736_481,P08,Copyshop,wireless connection,phone,1
235,P08_C_129_382_1736_481,P08,Copyshop,comfortable,phone,1
236,P08_C_131_489_1704_568,P08,Copyshop,insert,key,5
237,P08_C_131_489_1704_568,P08,Copyshop,hold to,key,5
238,P08_C_131_489_1704_568,P08,Copyshop,pos invisible storage,key,5
239,P08_C_133_576_1861_645,P08,Copyshop,at hand,card,3
240,P08_C_133_576_1861_645,P08,Copyshop,place on,card,3
241,P08_C_141_659_1950_728,P08,Copyshop,pos invisible storage,pen,4
242,P08_C_141_659_1950_728,P08,Copyshop,insert,pen,4
243,P08_C_141_659_1950_728,P08,Copyshop,at hand,pen,4
244,P08_C_148_734_1872_810,P08,Copyshop,at hand,watch,2
245,P08_C_148_734_1872_810,P08,Copyshop,insert,watch,2
246,P08_C_148_734_1872_810,P08,Copyshop,smart,watch,2
247,P08_C_154_823_1950_970,P08,Copyshop,unfolded,tissue,6
248,P08_C_154_823_1950_970,P08,Copyshop,small / handy,tissue,6
249,P08_C_154_823_1950_970,P08,Copyshop,hold to,tissue,6
250,P08_C_154_823_1950_970,P08,Copyshop,unsecure,tissue,6
251,P08_C_154_823_1950_970,P08,Copyshop,low value,tissue,6
252,P08_C_154_823_1950_970,P08,Copyshop,disposable,tissue,6
253,P30_C_839_21_1620_93,P30,Copyshop,place on,,
254,P30_C_215_178_1728_296,P30,Copyshop,impractical / cumbersome,phone,6
255,P30_C_215_178_1728_296,P30,Copyshop,wireless connection\messenger,phone,6
256,P30_C_215_178_1728_296,P30,Copyshop,extra steps,phone,6
257,P30_C_215_178_1728_296,P30,Copyshop,known interaction,phone,6
258,P30_C_215_178_1728_296,P30,Copyshop,cable,phone,6
259,P30_C_210_304_1193_347,P30,Copyshop,practical,key,4
260,P30_C_210_304_1193_347,P30,Copyshop,insert,key,4
261,P30_C_210_304_1193_347,P30,Copyshop,at hand,key,4
262,P30_C_210_304_1193_347,P30,Copyshop,place on,key,4
263,P30_C_211_373_1013_462,P30,Copyshop,practical,card,2
264,P30_C_211_373_1013_462,P30,Copyshop,place on,card,2
265,P30_C_199_471_996_521,P30,Copyshop,wireless connection,watch,1
266,P30_C_199_471_996_521,P30,Copyshop,place on,watch,1
267,P30_C_218_537_878_599,P30,Copyshop,insert,pen,5
268,P30_C_215_605_1662_750,P30,Copyshop,insert,tissue,3
269,P30_C_215_605_1662_750,P30,Copyshop,place on,tissue,3
270,P16_C_173_90_1590_146,P16,Copyshop,wireless connection,phone,1
271,P16_C_173_90_1590_146,P16,Copyshop,at hand,phone,1
272,P16_C_169_167_1043_242,P16,Copyshop,turn,key,3
273,P16_C_169_167_1043_242,P16,Copyshop,insert,key,3
274,P16_C_125_252_1426_325,P16,Copyshop,no usage / no sense,card,5
275,P16_C_125_252_1426_325,P16,Copyshop,scan,card,5
276,P16_C_164_339_1391_412,P16,Copyshop,scan,watch,2
277,P16_C_160_416_1124_477,P16,Copyshop,insert,pen,4
278,P16_C_160_416_1124_477,P16,Copyshop,writing,pen,4
279,P16_C_169_485_377_529,P16,Copyshop,no usage / no sense,tissue,6
280,P17_C_72_74_1428_139,P17,Copyshop,simple,phone,1
281,P17_C_72_74_1428_139,P17,Copyshop,at hand,phone,1
282,P17_C_72_74_1428_139,P17,Copyshop,wireless connection,phone,1
283,P17_C_67_151_1431_228,P17,Copyshop,low compatibility,key,4
284,P17_C_67_151_1431_228,P17,Copyshop,grab,key,4
285,P17_C_67_151_1431_228,P17,Copyshop,high compatibility,key,4
286,P17_C_67_151_1431_228,P17,Copyshop,insert,key,4
287,P17_C_67_151_1431_228,P17,Copyshop,turn,key,4
288,P17_C_76_233_1431_295,P17,Copyshop,hold to,card,3
289,P17_C_76_233_1431_295,P17,Copyshop,realisable,card,3
290,P17_C_70_304_978_359,P17,Copyshop,at hand,watch,2
291,P17_C_70_304_978_359,P17,Copyshop,hold to,watch,2
292,P17_C_70_304_978_359,P17,Copyshop,wireless connection,watch,2
293,P17_C_74_369_1122_446,P17,Copyshop,not at hand\must have at hand,pen,5
294,P17_C_74_369_1122_446,P17,Copyshop,additional device needed,pen,5
295,P17_C_74_369_1122_446,P17,Copyshop,writing,pen,5
296,P17_C_74_369_1122_446,P17,Copyshop,insert,pen,5
297,P17_C_74_450_808_499,P17,Copyshop,hold to,tissue,6
298,P17_C_74_450_808_499,P17,Copyshop,not realisable,tissue,6
299,P18_C_75_78_1616_184,P18,Copyshop,known interaction,phone,1
300,P18_C_75_78_1616_184,P18,Copyshop,place on,phone,1
301,P18_C_75_78_1616_184,P18,Copyshop,multifunctional,phone,1
302,P18_C_77_192_1612_251,P18,Copyshop,additional device needed,key,5
303,P18_C_77_192_1612_251,P18,Copyshop,no benefit / no added value,key,5
304,P18_C_77_261_1057_324,P18,Copyshop,place on,card,4
305,P18_C_78_327_1636_416,P18,Copyshop,wireless connection,watch,2
306,P18_C_78_327_1636_416,P18,Copyshop,place on,watch,2
307,P18_C_76_426_1628_606,P18,Copyshop,multifunctional,pen,3
308,P18_C_76_426_1628_606,P18,Copyshop,pointing,pen,3
309,P18_C_76_426_1628_606,P18,Copyshop,touch,pen,3
310,P18_C_76_426_1628_606,P18,Copyshop,hold to,pen,3
311,P18_C_29_504_59_563,P18,Copyshop,no usage / no sense,tissue,6
312,P19_C_34_62_1749_162,P19,Copyshop,wireless connection,phone,1
313,P19_C_34_62_1749_162,P19,Copyshop,simple,phone,1
314,P19_C_34_62_1749_162,P19,Copyshop,at hand,phone,1
315,P19_C_50_179_1235_233,P19,Copyshop,place on,key,4
316,P19_C_50_179_1235_233,P19,Copyshop,at hand,key,4
317,P19_C_46_245_1738_338,P19,Copyshop,hold to,card,3
318,P19_C_46_245_1738_338,P19,Copyshop,at hand,card,3
319,P19_C_34_345_1705_406,P19,Copyshop,wireless connection,watch,2
320,P19_C_34_345_1705_406,P19,Copyshop,place on,watch,2
321,P19_C_38_412_1753_486,P19,Copyshop,insert,pen,5
322,P19_C_38_412_1753_486,P19,Copyshop,not at hand\must have at hand,pen,5
323,P19_C_38_490_1629_599,P19,Copyshop,original use,tissue,6
324,P19_C_38_490_1629_599,P19,Copyshop,disposable,tissue,6
325,P19_C_38_490_1629_599,P19,Copyshop,place on,tissue,6
326,P20_C_73_95_562_147,P20,Copyshop,cable,phone,2
327,P20_C_78_159_1549_259,P20,Copyshop,low compatibility,key,5
328,P20_C_78_159_1549_259,P20,Copyshop,insert,key,5
329,P20_C_78_159_1549_259,P20,Copyshop,secure,key,5
330,P20_C_82_265_681_321,P20,Copyshop,insert,card,4
331,P20_C_82_265_681_321,P20,Copyshop,additional device needed,card,4
332,P20_C_78_334_953_396,P20,Copyshop,wireless connection,watch,3
333,P20_C_77_405_1523_571,P20,Copyshop,insert,pen,1
334,P20_C_77_405_1523_571,P20,Copyshop,wireless connection,pen,1
335,P20_C_77_405_1523_571,P20,Copyshop,tab on object\button,pen,1
336,P20_C_72_574_1194_630,P20,Copyshop,no benefit / no added value,tissue,6
337,P20_C_72_574_1194_630,P20,Copyshop,imprint,tissue,6
338,P20_C_72_574_1194_630,P20,Copyshop,scan,tissue,6
339,P21_C_740_9_863_39,P21,Copyshop,voice command,,
340,P21_C_353_16_712_58,P21,Copyshop,writing,,
341,P21_C_172_75_1304_192,P21,Copyshop,wireless connection,phone,1
342,P21_C_172_75_1304_192,P21,Copyshop,at hand,phone,1
343,P21_C_172_75_1304_192,P21,Copyshop,multifunctional,phone,1
344,P21_C_172_75_1304_192,P21,Copyshop,photo,phone,1
345,P21_C_172_194_1186_246,P21,Copyshop,insert,key,6
346,P21_C_172_194_1186_246,P21,Copyshop,other\locker / deposit,key,6
347,P21_C_174_249_1304_372,P21,Copyshop,pointing,card,2
348,P21_C_174_249_1304_372,P21,Copyshop,place on,card,2
349,P21_C_174_249_1304_372,P21,Copyshop,swipe,card,2
350,P21_C_9_355_160_599,P21,Copyshop,pointing,pen,3
351,P21_C_9_355_160_599,P21,Copyshop,writing,pen,3
352,P21_C_253_375_1162_457,P21,Copyshop,multifunctional,watch,5
353,P21_C_253_375_1162_457,P21,Copyshop,hold to,watch,5
354,P21_C_178_465_1300_613,P21,Copyshop,no benefit / no added value,tissue,4
355,P21_C_178_465_1300_613,P21,Copyshop,place on,tissue,4
356,P21_C_178_465_1300_613,P21,Copyshop,writing,tissue,4
357,P22_C_69_61_1574_155,P22,Copyshop,known interaction,phone,1
358,P22_C_69_61_1574_155,P22,Copyshop,cable,phone,1
359,P22_C_76_170_1572_237,P22,Copyshop,turn,key,5
360,P22_C_76_170_1572_237,P22,Copyshop,original use,key,5
361,P22_C_76_170_1572_237,P22,Copyshop,insert,key,5
362,P22_C_78_246_819_327,P22,Copyshop,insert,card,3
363,P22_C_78_246_819_327,P22,Copyshop,known interaction,card,3
364,P22_C_74_336_821_397,P22,Copyshop,hold to,watch,2
365,P22_C_74_336_821_397,P22,Copyshop,known interaction,watch,2
366,P22_C_74_407_458_478,P22,Copyshop,insert,pen,4
367,P22_C_74_487_1593_632,P22,Copyshop,shake,tissue,6
368,P22_C_74_487_1593_632,P22,Copyshop,hologram,tissue,6
369,P22_C_74_487_1593_632,P22,Copyshop,wipe,tissue,6
370,P22_C_74_487_1593_632,P22,Copyshop,not realisable,tissue,6
371,P23_C_73_51_1690_263,P23,Copyshop,multifunctional,phone,1
372,P23_C_73_51_1690_263,P23,Copyshop,impractical / cumbersome,phone,1
373,P23_C_73_51_1690_263,P23,Copyshop,additional device needed,phone,1
374,P23_C_73_51_1690_263,P23,Copyshop,cable,phone,1
375,P23_C_73_51_1690_263,P23,Copyshop,at hand,phone,1
376,P23_C_73_51_1690_263,P23,Copyshop,wireless connection,phone,1
377,P23_C_73_51_1690_263,P23,Copyshop,place on,phone,1
378,P23_C_75_267_918_330,P23,Copyshop,place on,key,2
379,P23_C_75_267_918_330,P23,Copyshop,at hand,key,2
380,P23_C_75_340_1141_413,P23,Copyshop,place on,card,3
381,P23_C_79_428_1690_519,P23,Copyshop,not at hand\must have at hand,watch,4
382,P23_C_79_428_1690_519,P23,Copyshop,hold to,watch,4
383,P23_C_60_524_1670_584,P23,Copyshop,at hand depending on location,pen,5
384,P23_C_60_524_1670_584,P23,Copyshop,hold to,pen,5
385,P23_C_60_524_1670_584,P23,Copyshop,insert,pen,5
386,P23_C_60_524_1670_584,P23,Copyshop,not at hand\must have at hand,pen,5
387,P23_C_87_596_1645_721,P23,Copyshop,neg invisible storage,tissue,6
388,P23_C_87_596_1645_721,P23,Copyshop,disposable,tissue,6
389,P23_C_87_596_1645_721,P23,Copyshop,unintuitive,tissue,6
390,P23_C_87_596_1645_721,P23,Copyshop,place on,tissue,6
391,P23_C_87_596_1645_721,P23,Copyshop,low value,tissue,6
392,P23_C_87_596_1645_721,P23,Copyshop,other original purpose,tissue,6
393,P24_C_589_21_1640_114,P24,Copyshop,place on,,
394,P24_C_589_21_1640_114,P24,Copyshop,hold to,,
395,P24_C_220_127_1569_239,P24,Copyshop,wireless connection\messenger,phone,1
396,P24_C_220_127_1569_239,P24,Copyshop,wireless connection,phone,1
397,P24_C_220_127_1569_239,P24,Copyshop,place on,phone,1
398,P24_C_225_248_1072_300,P24,Copyshop,at hand,key,2
399,P24_C_225_248_1072_300,P24,Copyshop,place on,key,2
400,P24_C_220_311_1731_394,P24,Copyshop,additional device needed,card,5
